id,product_code,product_name,category_id,currency_code,risk_level_id,loan_type,min_amount,max_amount,min_term_months,max_term_months,annual_interest_rate,min_interest_rate,max_interest_rate,collateral_required_flag,guarantee_required_flag,post_registration_allowed_flag,min_guarantee_ratio,repayment_method,product_status,created_at,updated_at
14,LOAN_BUSINESS_TAX,税票经营贷,24,CNY,8,business,30000,1500000,6,48,0.074,0.048,0.13,0,1,0,1.1,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
15,LOAN_BUSINESS_MERCHANT,商户经营贷,24,CNY,8,business,20000,800000,3,36,0.082,0.052,0.14,0,1,0,1.1,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
16,LOAN_BUSINESS_SUPPLY,供应链经营贷,24,CNY,7,business,100000,3000000,6,60,0.064,0.042,0.105,0,1,0,1.2,interest_first,active,2019-01-01 00:00:00,2026-01-01 00:00:00
17,LOAN_MORTGAGE_HOME,房产抵押经营贷,25,CNY,7,business,100000,5000000,12,120,0.052,0.039,0.082,1,0,1,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
18,LOAN_MORTGAGE_SHOP,商铺抵押贷,25,CNY,7,business,200000,8000000,12,120,0.056,0.041,0.088,1,0,1,,equal_principal,active,2019-01-01 00:00:00,2026-01-01 00:00:00
19,LOAN_MORTGAGE_CAR,车辆抵押贷,25,CNY,8,consumer,30000,800000,6,60,0.078,0.052,0.12,1,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
20,LOAN_MORTGAGE_CERT,存单质押贷,25,CNY,6,consumer,10000,2000000,3,60,0.046,0.032,0.068,1,0,1,,one_time,active,2019-01-01 00:00:00,2026-01-01 00:00:00
21,LOAN_GUARANTEE_SME,小微保证担保贷,26,CNY,8,business,50000,1000000,6,48,0.078,0.052,0.14,0,1,0,1.1,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
22,LOAN_GUARANTEE_PERSONAL,个人保证担保贷,26,CNY,8,consumer,10000,300000,6,36,0.088,0.058,0.145,0,1,0,1.0,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
23,LOAN_GUARANTEE_POLICY,保单保证贷,26,CNY,7,consumer,10000,500000,6,48,0.075,0.05,0.12,0,1,0,1.0,equal_principal,active,2019-01-01 00:00:00,2026-01-01 00:00:00
24,LOAN_GUARANTEE_GROUP,集团保证经营贷,26,CNY,8,business,100000,3000000,6,60,0.071,0.048,0.12,0,1,0,1.2,interest_first,active,2019-01-01 00:00:00,2026-01-01 00:00:00
25,LOAN_CONSUMER_MEDICAL,医疗消费信用贷,21,CNY,7,consumer,3000,200000,3,36,0.069,0.045,0.105,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
26,LOAN_CONSUMER_TRAVEL,文旅消费信用贷,21,CNY,7,consumer,3000,150000,3,24,0.075,0.05,0.115,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
27,LOAN_CASH_MICRO,微额循环现金贷,22,CNY,8,cash,500,30000,1,12,0.132,0.09,0.22,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
28,LOAN_CASH_APP,移动端备用金,22,CNY,8,cash,500,50000,1,18,0.126,0.082,0.2,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
29,LOAN_INSTALLMENT_DIGITAL,数码产品分期贷,23,CNY,7,installment,1000,80000,3,24,0.078,0.052,0.12,0,0,0,,equal_principal,active,2019-01-01 00:00:00,2026-01-01 00:00:00
30,LOAN_INSTALLMENT_APPLIANCE,家电消费分期贷,23,CNY,7,installment,1000,60000,3,24,0.074,0.048,0.112,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
31,LOAN_BUSINESS_ECOM,电商经营贷,24,CNY,8,business,30000,1200000,3,36,0.079,0.052,0.13,0,1,0,1.1,interest_first,active,2019-01-01 00:00:00,2026-01-01 00:00:00
32,LOAN_BUSINESS_INVOICE,发票经营贷,24,CNY,8,business,50000,2000000,6,48,0.072,0.046,0.12,0,1,0,1.2,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
33,LOAN_MORTGAGE_FACTORY,厂房抵押经营贷,25,CNY,7,business,500000,10000000,12,120,0.055,0.04,0.085,1,0,1,,equal_principal,active,2019-01-01 00:00:00,2026-01-01 00:00:00
34,LOAN_MORTGAGE_EQUIPMENT,设备抵押经营贷,25,CNY,8,business,100000,5000000,12,84,0.064,0.046,0.098,1,0,1,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
35,LOAN_GUARANTEE_SUPPLIER,供应商保证贷,26,CNY,8,business,50000,1500000,6,48,0.076,0.05,0.13,0,1,0,1.2,interest_first,active,2019-01-01 00:00:00,2026-01-01 00:00:00
36,LOAN_GUARANTEE_FAMILY,家庭保证消费贷,26,CNY,8,consumer,10000,300000,6,36,0.084,0.056,0.135,0,1,0,1.0,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
