id,product_id,rule_code,rule_name,rule_type,rule_expression,threshold_value,decision_action,yn,created_at,updated_at
153,26,P26_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
154,26,P26_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
155,26,P26_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
156,26,P26_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
157,27,P27_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
158,27,P27_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
159,27,P27_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
160,27,P27_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
161,27,P27_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
162,27,P27_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
163,28,P28_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
164,28,P28_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
165,28,P28_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
166,28,P28_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
167,28,P28_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
168,28,P28_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
169,29,P29_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
170,29,P29_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
171,29,P29_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
172,29,P29_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
173,29,P29_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
174,29,P29_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
175,30,P30_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
