id,product_id,purchase_confirm_days,redeem_confirm_days,redeem_arrival_days,cutoff_time,rule_status,created_at,updated_at
40,40,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
41,41,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
42,42,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
43,43,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
44,44,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
45,45,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
46,46,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
47,47,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
48,48,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
49,49,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
50,50,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
51,51,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
52,52,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
53,53,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
54,54,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
55,55,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
56,56,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
57,57,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
58,58,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
59,59,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
60,60,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
61,61,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
62,62,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
63,63,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
64,64,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
65,65,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
66,66,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
67,67,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
68,68,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
69,69,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
70,70,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
71,71,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
72,72,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
73,73,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
74,74,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
75,75,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
76,76,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
77,77,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
78,78,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
79,79,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
80,80,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
81,81,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
82,82,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
83,83,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
84,84,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
85,85,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
86,86,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
87,87,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
88,88,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
89,89,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
90,90,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
91,91,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
92,92,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
93,93,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
94,94,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
95,95,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
96,96,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
97,97,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
98,98,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
99,99,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
100,100,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
101,101,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
102,102,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
103,103,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
104,104,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
105,105,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
106,106,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
107,107,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
108,108,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
109,109,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
110,110,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
111,111,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
112,112,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
113,113,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
114,114,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
115,115,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
116,116,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
117,117,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
118,118,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
119,119,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
120,120,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
